-4.00000000e+01  3.69743303e-07 
-3.50000000e+01  3.66163514e-07 
-3.00000000e+01  3.62114566e-07 
-2.50000000e+01  3.57696863e-07 
-2.00000000e+01  3.53071829e-07 
-1.50000000e+01  3.48339473e-07 
-1.00000000e+01  3.43639032e-07 
-5.00000000e+00  3.39048272e-07 
 0.00000000e+00  3.34717403e-07 
 5.00000000e+00  3.30729292e-07 
 1.00000000e+01  3.27367044e-07 
 1.50000000e+01  3.25075234e-07 
 2.00000000e+01  3.24808659e-07 
 2.50000000e+01  3.28369077e-07 
 3.00000000e+01  3.38940302e-07 
 3.50000000e+01  3.61888550e-07 
 4.00000000e+01  4.05920633e-07 
 4.50000000e+01  4.85060053e-07 
 5.00000000e+01  6.21600632e-07 
 5.50000000e+01  8.47210914e-07 
 6.00000000e+01  1.17359341e-06 
 6.50000000e+01  1.52938615e-06 
 7.00000000e+01  1.90617291e-06 
 7.50000000e+01  2.39069037e-06 
 8.00000000e+01  3.08798088e-06 
 8.50000000e+01  4.13033644e-06 
